;;;;
bewolkt. Doeken open. 4500 lux;;;;
;open;wit;transparant;open
645;9,47017E-02;1,16139E-02;8,28229E-02;9,47586E-02
646;9,19089E-02;1,11559E-02;8,06813E-02;9,20829E-02
647;9,08824E-02;1,09196E-02;7,81758E-02;9,05292E-02
648;8,94040E-02;1,08514E-02;7,75875E-02;8,87954E-02
649;8,73202E-02;1,05336E-02;7,63817E-02;8,84568E-02
650;8,80223E-02;1,09507E-02;7,65051E-02;8,80337E-02
651;8,71505E-02;1,05554E-02;7,68052E-02;8,82120E-02
652;8,71799E-02;1,05975E-02;7,73157E-02;8,86703E-02
653;8,61435E-02;1,05488E-02;7,59244E-02;8,58650E-02
654;8,56440E-02;1,02806E-02;7,49248E-02;8,57573E-02
655;8,35273E-02;1,01588E-02;7,30102E-02;8,43356E-02
656;8,45840E-02;1,02120E-02;7,35449E-02;8,42469E-02
657;8,30743E-02;1,01217E-02;7,38252E-02;8,48420E-02
658;8,59424E-02;1,02675E-02;7,49243E-02;8,55272E-02
659;8,58004E-02;1,03262E-02;7,50170E-02;8,65828E-02
660;8,46178E-02;1,03558E-02;7,52508E-02;8,60944E-02
661;8,53031E-02;1,06225E-02;7,59262E-02;8,66474E-02
662;8,53404E-02;1,02796E-02;7,45591E-02;8,61808E-02
663;8,48705E-02;1,01754E-02;7,39709E-02;8,60779E-02
664;8,39918E-02;1,01787E-02;7,40320E-02;8,56952E-02
665;8,50267E-02;1,02303E-02;7,44777E-02;8,58803E-02
666;8,48327E-02;1,03575E-02;7,42720E-02;8,40670E-02
667;8,46207E-02;1,02511E-02;7,46708E-02;8,69917E-02
668;8,56023E-02;1,01805E-02;7,45700E-02;8,61436E-02
669;8,49815E-02;1,02941E-02;7,54648E-02;8,67706E-02
670;8,55390E-02;1,02045E-02;7,54481E-02;8,73160E-02
671;8,58152E-02;1,04604E-02;7,50007E-02;8,59594E-02
672;8,48201E-02;1,01805E-02;7,35901E-02;8,71385E-02
673;8,51321E-02;1,01472E-02;7,43455E-02;8,56536E-02
674;8,40070E-02;9,97448E-03;7,30705E-02;8,57013E-02
675;8,35504E-02;1,00809E-02;7,22529E-02;8,36546E-02
676;8,19756E-02;9,93090E-03;7,16272E-02;8,21077E-02
677;8,00429E-02;1,00613E-02;7,12866E-02;8,19298E-02
678;8,01144E-02;9,65104E-03;7,05785E-02;7,91186E-02
679;7,77112E-02;9,72096E-03;6,89193E-02;7,86618E-02
680;7,72073E-02;9,56418E-03;6,81567E-02;7,76860E-02
681;7,46864E-02;9,21562E-03;6,68892E-02;7,79711E-02
682;7,46559E-02;9,43201E-03;6,54334E-02;7,51122E-02
683;7,35993E-02;8,98851E-03;6,45323E-02;7,51674E-02
684;7,11281E-02;8,83444E-03;6,25300E-02;7,18765E-02
685;6,69807E-02;8,13421E-03;5,88073E-02;6,78486E-02
686;6,16966E-02;7,69866E-03;5,51148E-02;6,34604E-02
