,,,,,,
,,,,,,
,,,,,,
Name,#5,#6,#1,Kas 4,#3,#4
Correction,UV,UV,UV,UV,UV,UV
Date,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017
526,1.46098E-03,8.66461E-02,1.79163E-03,7.18601E-03,1.19989E-02,2.73428E-02
527,1.49976E-03,8.78295E-02,1.81571E-03,7.28711E-03,1.19569E-02,2.72774E-02
528,1.52217E-03,8.93102E-02,1.84884E-03,7.39668E-03,1.22057E-02,2.78140E-02
529,1.50241E-03,9.03640E-02,1.85713E-03,7.47461E-03,1.23813E-02,2.81872E-02
530,1.56844E-03,9.16039E-02,1.92335E-03,7.57151E-03,1.23509E-02,2.79957E-02
531,1.66182E-03,9.24366E-02,2.14014E-03,7.65295E-03,1.21482E-02,2.76859E-02
532,1.92794E-03,9.32721E-02,2.37034E-03,7.70721E-03,1.20507E-02,2.71920E-02
533,2.01873E-03,9.40317E-02,2.59577E-03,7.71855E-03,1.19580E-02,2.70783E-02
534,2.12455E-03,9.43921E-02,2.62715E-03,7.82560E-03,1.20928E-02,2.73633E-02
535,2.27623E-03,9.54097E-02,2.79111E-03,7.86172E-03,1.21703E-02,2.75545E-02
536,2.80691E-03,9.62930E-02,3.45102E-03,7.92098E-03,1.21970E-02,2.74858E-02
537,3.88717E-03,9.70124E-02,4.78030E-03,8.04087E-03,1.21734E-02,2.72293E-02
538,5.47254E-03,9.77957E-02,6.69367E-03,8.10403E-03,1.21713E-02,2.69933E-02
539,8.24339E-03,9.90145E-02,1.01745E-02,8.28636E-03,1.22636E-02,2.66613E-02
540,1.40123E-02,1.00107E-01,1.71734E-02,8.53912E-03,1.25983E-02,2.64531E-02
541,2.19548E-02,1.01486E-01,2.67402E-02,8.89844E-03,1.32873E-02,2.64366E-02
542,2.87612E-02,1.02843E-01,3.50709E-02,9.20668E-03,1.38896E-02,2.64938E-02
543,3.15990E-02,1.03474E-01,3.87628E-02,9.34830E-03,1.41814E-02,2.65266E-02
544,3.30209E-02,1.03648E-01,4.04311E-02,9.39853E-03,1.43008E-02,2.66913E-02
545,3.01391E-02,1.03533E-01,3.69067E-02,9.32531E-03,1.39482E-02,2.65642E-02
546,2.40308E-02,1.02904E-01,2.95018E-02,9.11051E-03,1.33727E-02,2.63770E-02
547,1.62951E-02,1.02174E-01,2.00843E-02,8.76818E-03,1.25964E-02,2.60758E-02
548,1.11872E-02,1.01227E-01,1.38516E-02,8.54195E-03,1.21098E-02,2.58596E-02
549,9.46770E-03,1.00965E-01,1.16693E-02,8.44022E-03,1.19473E-02,2.57091E-02
550,8.50650E-03,1.00734E-01,1.03802E-02,8.44317E-03,1.17988E-02,2.55907E-02
551,7.64478E-03,1.00922E-01,9.37649E-03,8.39751E-03,1.17021E-02,2.54572E-02
552,6.59651E-03,1.00916E-01,8.06714E-03,8.32075E-03,1.15424E-02,2.52853E-02
553,5.28261E-03,1.00656E-01,6.43577E-03,8.29544E-03,1.14073E-02,2.52465E-02
554,3.86613E-03,1.00494E-01,4.73020E-03,8.21630E-03,1.12375E-02,2.51336E-02
555,2.82828E-03,1.00067E-01,3.44372E-03,8.17942E-03,1.09584E-02,2.49310E-02
556,2.28451E-03,9.98328E-02,2.78586E-03,8.06453E-03,1.08198E-02,2.44292E-02
557,1.99378E-03,9.99234E-02,2.47064E-03,8.06206E-03,1.04921E-02,2.39361E-02
558,1.82083E-03,1.00090E-01,2.20487E-03,8.04989E-03,1.03455E-02,2.35473E-02
559,1.78113E-03,9.95664E-02,2.10481E-03,8.01701E-03,1.02022E-02,2.33472E-02
560,1.66122E-03,9.95262E-02,2.02378E-03,8.01937E-03,1.01893E-02,2.32504E-02
561,1.64553E-03,9.95352E-02,2.00511E-03,8.02683E-03,1.01438E-02,2.32528E-02
562,1.55647E-03,9.92948E-02,1.94520E-03,7.97112E-03,1.00639E-02,2.29882E-02
563,1.56881E-03,9.92506E-02,1.81580E-03,7.95536E-03,9.94265E-03,2.28506E-02
